system,estimator,noise_label,cell_id,n_rows,top1_err,oracle_err,oracle_rank,gap_ratio,is_mult2,row0_is_alt_branch
biohydrogenation,odepe_v2_polish,1em8,biohydrogenation_7_1em8,20,0.00016490861464268656,0.00016488708933938413,1,1.0001305457170035,True,False
biohydrogenation,odepe_v2_polish,0,biohydrogenation_8_0,20,1.2630110553634045e-10,1.2630110553634045e-10,0,1.0,True,False
biohydrogenation,odepe_v2_polish,1em2,biohydrogenation_8_1em2,20,8.26489320251973,8.264893113021733,2,1.0000000108286937,True,False
biohydrogenation,odepe_v2_polish,1em4,biohydrogenation_8_1em4,20,8.264091813590257,1.624485086288461,18,5.087206945353757,True,False
biohydrogenation,odepe_v2_polish,1em6,biohydrogenation_8_1em6,20,0.0017176763089049266,0.0017143211176266976,4,1.0019571544932457,True,False
biohydrogenation,odepe_v2_polish,1em8,biohydrogenation_8_1em8,20,8.262194486923072e-05,8.250460545932313e-05,4,1.001422216484211,True,False
biohydrogenation,odepe_v2_polish,0,biohydrogenation_9_0,20,2.5067880086530416e-06,5.038090979349721e-07,1,4.975670385723362,True,False
biohydrogenation,odepe_v2_polish,1em2,biohydrogenation_9_1em2,20,6.121362007836594,6.121361837143092,17,1.0000000278848902,True,False
biohydrogenation,odepe_v2_polish,1em4,biohydrogenation_9_1em4,20,0.5938552326603459,0.5938437459413712,3,1.0000193429989845,True,False
biohydrogenation,odepe_v2_polish,1em6,biohydrogenation_9_1em6,20,0.002566632794521823,0.002566226723577032,17,1.000158236581772,True,False
biohydrogenation,odepe_v2_polish,1em8,biohydrogenation_9_1em8,20,6.286218257836446e-05,6.286218257836446e-05,0,1.0,True,False
boost_converter,odepe_v2_polish,0,boost_converter_0_0,20,0.00018197518807876948,2.17007238987936e-09,1,83856.73626716479,False,False
boost_converter,odepe_v2_polish,1em2,boost_converter_0_1em2,20,0.0077017324942128965,0.00432632880098881,10,1.7802004536623792,False,False
boost_converter,odepe_v2_polish,1em4,boost_converter_0_1em4,20,0.00018197518807876948,0.00018197518807876948,0,1.0,False,False
boost_converter,odepe_v2_polish,1em6,boost_converter_0_1em6,20,0.0004126097274798487,4.2504674748826994e-05,1,9.707396419760524,False,False
boost_converter,odepe_v2_polish,1em8,boost_converter_0_1em8,20,0.00012546115451395466,1.5283063353949338e-07,1,820.9162758036588,False,False
boost_converter,odepe_v2_polish,0,boost_converter_1_0,20,9.89702012803064e-05,1.287979210000099e-06,1,76.84145870669666,False,False
boost_converter,odepe_v2_polish,1em2,boost_converter_1_1em2,20,0.051630950780306516,0.046553902004076136,19,1.1090574271472635,False,False
boost_converter,odepe_v2_polish,1em4,boost_converter_1_1em4,20,0.0009341769748264394,0.0004726390742776895,1,1.9765123657075858,False,False
boost_converter,odepe_v2_polish,1em6,boost_converter_1_1em6,20,0.0007959633057820553,0.00019940702424225162,2,3.9916512911554776,False,False
boost_converter,odepe_v2_polish,1em8,boost_converter_1_1em8,20,0.00011624690991087954,1.5260790013593491e-06,1,76.17358590697667,False,False
boost_converter,odepe_v2_polish,0,boost_converter_2_0,20,0.00012640096660202215,1.3684521153050242e-11,1,9236784.041496966,False,False
boost_converter,odepe_v2_polish,1em2,boost_converter_2_1em2,20,0.040132114051308856,0.0383834942951697,15,1.0455565546662386,False,False
boost_converter,odepe_v2_polish,1em4,boost_converter_2_1em4,20,0.00036142305007249675,0.00036142305007249675,0,1.0,False,False
boost_converter,odepe_v2_polish,1em6,boost_converter_2_1em6,20,0.000271139546667102,7.137156668866697e-05,5,3.7989854958607205,False,False
boost_converter,odepe_v2_polish,1em8,boost_converter_2_1em8,20,0.00015099460341365105,3.530100901453364e-06,1,42.77345255244281,False,False
boost_converter,odepe_v2_polish,0,boost_converter_3_0,20,0.00011346883295122396,1.575167853168771e-08,1,7203.602633392898,False,False
boost_converter,odepe_v2_polish,1em2,boost_converter_3_1em2,20,0.017357392469790008,0.012787910058732999,8,1.357328319488489,False,False
boost_converter,odepe_v2_polish,1em4,boost_converter_3_1em4,20,0.00020165110110562556,0.00020165110110562556,0,1.0,False,False
boost_converter,odepe_v2_polish,1em6,boost_converter_3_1em6,20,0.0002349514968799609,1.599766820172121e-05,1,14.686608943088478,False,False
boost_converter,odepe_v2_polish,1em8,boost_converter_3_1em8,20,0.00010610455251565446,6.843144610574345e-08,1,1550.523312801205,False,False
boost_converter,odepe_v2_polish,0,boost_converter_4_0,20,6.894895284644587e-05,1.3148765969423627e-08,1,5243.758464237708,False,False
boost_converter,odepe_v2_polish,1em2,boost_converter_4_1em2,20,0.03086115725485227,0.008373252039738108,16,3.6856835442657383,False,False
boost_converter,odepe_v2_polish,1em4,boost_converter_4_1em4,20,0.0003510896150055426,0.00026641881065323213,2,1.3178109088645287,False,False
boost_converter,odepe_v2_polish,1em6,boost_converter_4_1em6,20,0.00013485927539498224,1.4229554566963053e-05,1,9.477406672172776,False,False
boost_converter,odepe_v2_polish,1em8,boost_converter_4_1em8,20,9.567673141900693e-05,5.209038641870497e-07,1,183.6744512700537,False,False
boost_converter,odepe_v2_polish,0,boost_converter_5_0,20,0.00042000463453384563,1.0725276081399473e-06,1,391.602632273725,False,False
boost_converter,odepe_v2_polish,1em2,boost_converter_5_1em2,20,0.06793767755681826,0.03358847407971393,15,2.0226485250739583,False,False
boost_converter,odepe_v2_polish,1em4,boost_converter_5_1em4,20,0.003823020241477353,0.0016701438210226464,1,2.2890365448506573,False,False
boost_converter,odepe_v2_polish,1em6,boost_converter_5_1em6,20,0.001548073508522808,0.0002056413642530104,2,7.528025862628197,False,False
boost_converter,odepe_v2_polish,1em8,boost_converter_5_1em8,20,0.00022655422404666288,8.752099029346088e-06,1,25.885701622778583,False,False
boost_converter,odepe_v2_polish,0,boost_converter_6_0,20,0.0014505097360321497,0.0014505097360321497,0,1.0,False,False
boost_converter,odepe_v2_polish,1em2,boost_converter_6_1em2,20,0.05292626583214967,0.006606130888967755,4,8.011688947994745,False,False
boost_converter,odepe_v2_polish,1em4,boost_converter_6_1em4,20,0.0008840849905302558,0.0008840849905302558,0,1.0,False,False
boost_converter,odepe_v2_polish,1em6,boost_converter_6_1em6,20,0.0021672104344223012,0.001589688387784138,1,1.3632926119836413,False,False
boost_converter,odepe_v2_polish,1em8,boost_converter_6_1em8,20,0.0010695023970170925,0.0010695023970170925,0,1.0,False,False
boost_converter,odepe_v2_polish,0,boost_converter_7_0,20,9.651270192577904e-05,3.425353215952424e-12,1,28175985.319208477,False,False
boost_converter,odepe_v2_polish,1em2,boost_converter_7_1em2,20,0.007749882828830517,0.006476905088988256,5,1.1965410519920263,False,False
