,index,id,true_states,true_parameters,time_start,time_end,time_count,name,noise,finished,has_result,software,result,time
56,11,fitzhugh_nagumo_1_1em6,"{'VV': 0.116, 'R': 0.766}","{'g': 0.84, 'a': 0.157, 'b': 0.17}",-1.0,1.0,1001,fitzhugh_nagumo,1e-06,True,True,odepe,"[['g', '-0.056422751788104034', '0.8406274592518587', '0.8422571312706245'], ['a', '2.879773589955596', '0.1585355459444162', '0.16901523988726333'], ['b', '0.06002182470317035', '0.17177656441221423', '0.18053390212944767'], ['VV', '-5.605793408390494', '0.11613020100595527', '0.11578922672063154'], ['R', '-260.1817761359775', '0.7649392721384853', '0.7648488462852013']]",147.68589091300964
57,11,fitzhugh_nagumo_1_1em6,"{'VV': 0.116, 'R': 0.766}","{'g': 0.84, 'a': 0.157, 'b': 0.17}",-1.0,1.0,1001,fitzhugh_nagumo,1e-06,True,True,sciml,"[['g', '0.8400023432012346'], ['a', '0.15700764216940236'], ['b', '0.17000738266140222'], ['VV', '0.11599999143026775'], ['R', '0.7659975299085166']]",113.07391285896301
58,11,fitzhugh_nagumo_1_1em6,"{'VV': 0.116, 'R': 0.766}","{'g': 0.84, 'a': 0.157, 'b': 0.17}",-1.0,1.0,1001,fitzhugh_nagumo,1e-06,False,False,iqm,,
59,11,fitzhugh_nagumo_1_1em6,"{'VV': 0.116, 'R': 0.766}","{'g': 0.84, 'a': 0.157, 'b': 0.17}",-1.0,1.0,1001,fitzhugh_nagumo,1e-06,False,False,amigo2,,
60,12,vanderpol_0_1em4,"{'x1': 0.582, 'x2': 0.536}","{'a': 0.539, 'b': 0.672}",-1.0,1.0,1001,vanderpol,0.0001,True,True,pe,"[['a', '0.5063623359097512'], ['b', '0.6059744704995192'], ['x1', '0.589467446825107'], ['x2', '0.5487633114691322']]",109.31040859222412
61,12,vanderpol_0_1em4,"{'x1': 0.582, 'x2': 0.536}","{'a': 0.539, 'b': 0.672}",-1.0,1.0,1001,vanderpol,0.0001,True,True,odepe,"[['a', '0.506362335909716', '0.5306131055381502', '0.5405894124819149', '0.5386438038726423'], ['b', '0.6059744704995133', '0.6605248358284217', '0.6726221358098373', '0.6716710090564894'], ['x1', '0.5894674468251166', '0.583574135387443', '0.5815961316699452', '0.5820598646747017'], ['x2', '0.548763311469137', '0.5345075858809166', '0.5357465478041182', '0.5359458727682136']]",114.48314428329468
62,12,vanderpol_0_1em4,"{'x1': 0.582, 'x2': 0.536}","{'a': 0.539, 'b': 0.672}",-1.0,1.0,1001,vanderpol,0.0001,True,True,sciml,"[['a', '0.5389872332624295'], ['b', '0.6720070803128277'], ['x1', '0.5820027531968607'], ['x2', '0.535998982019372']]",110.73081493377686
63,12,vanderpol_0_1em4,"{'x1': 0.582, 'x2': 0.536}","{'a': 0.539, 'b': 0.672}",-1.0,1.0,1001,vanderpol,0.0001,False,False,iqm,,
64,12,vanderpol_0_1em4,"{'x1': 0.582, 'x2': 0.536}","{'a': 0.539, 'b': 0.672}",-1.0,1.0,1001,vanderpol,0.0001,False,False,amigo2,,
65,13,vanderpol_1_1em4,"{'x1': 0.45, 'x2': 0.813}","{'a': 0.439, 'b': 0.617}",-1.0,1.0,1001,vanderpol,0.0001,True,True,pe,"[['a', '0.4419058334680121'], ['b', '0.5956739135680419'], ['x1', '0.4464833842338636'], ['x2', '0.81872304755111']]",109.4017972946167
